City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Punta Arenas,75,CL,1604717233,61,-53.15,-70.92,48.2,8.05
Arraial do Cabo,98,BR,1604717485,74,-22.97,-42.03,70.97,7.63
Jamestown,1,US,1604717210,54,42.1,-79.24,55.4,8.05
Avarua,82,CK,1604717456,83,-21.21,-159.78,77.0,4.7
Cabrobó,90,BR,1604717896,65,-8.51,-39.31,79.21,21.54
Castro,0,BR,1604717273,97,-24.79,-50.01,52.25,6.31
Rikitea,58,PF,1604717441,71,-23.12,-134.97,71.49,16.51
Viedma,0,AR,1604717897,90,-40.81,-63.0,50.0,7.43
Hermanus,7,ZA,1604717459,91,-34.42,19.23,55.0,5.99
Mataura,98,NZ,1604717440,90,-46.19,168.86,46.35,6.33
São Geraldo do Araguaia,100,BR,1604717897,96,-6.4,-48.55,72.34,2.55
São José da Coroa Grande,85,BR,1604717898,86,-8.9,-35.15,77.79,8.52
Vaini,20,TO,1604717445,69,-21.2,-175.2,80.6,10.29
Caravelas,99,BR,1604717457,95,-17.71,-39.25,71.28,4.23
Puerto Quijarro,0,BO,1604717898,34,-17.78,-57.77,77.7,2.64
Ushuaia,75,AR,1604717361,32,-54.8,-68.3,53.6,18.34
Lebu,0,CL,1604717446,80,-37.62,-73.65,52.14,20.49
San Patricio,1,US,1604717485,77,28.02,-97.52,71.01,9.17
Atuona,75,PF,1604717453,78,-9.8,-139.03,78.17,17.74
Mar del Plata,0,AR,1604717353,82,-38.0,-57.56,63.0,4.7
Pisco,90,PE,1604717445,82,-13.7,-76.22,64.4,9.17
Ancud,98,CL,1604717456,75,-41.87,-73.82,48.99,11.41
Seabra,100,BR,1604717794,87,-12.42,-41.77,67.39,3.83
Cape Town,40,ZA,1604717441,93,-33.93,18.42,61.0,16.11
Vila Velha,75,BR,1604717284,88,-20.33,-40.29,73.4,9.17
Alofi,40,NU,1604717471,57,-19.06,-169.92,80.6,14.99
Iaciara,100,BR,1604717900,82,-14.1,-46.63,71.56,3.02
Talcahuano,0,CL,1604717506,81,-36.72,-73.12,53.6,10.29
Puerto Ayora,0,EC,1604717444,79,-0.74,-90.35,68.0,5.01
Hualmay,28,PE,1604717458,87,-11.1,-77.61,60.42,4.76
City of San Pedro,75,PH,1604717901,74,14.35,121.02,88.0,6.93
La Paz,0,BO,1604717812,39,-16.5,-68.15,44.6,10.29
Chui,96,UY,1604717446,93,-33.7,-53.46,60.66,7.52
Pangoa,27,PE,1604717901,93,-12.12,-73.0,67.91,3.74
Coyhaique,0,CL,1604717364,70,-45.58,-72.07,48.2,3.36
Coquimbo,0,CL,1604717320,93,-29.95,-71.34,53.6,1.12
San Rafael,20,AR,1604717902,54,-34.62,-68.33,65.61,16.49
Faanui,0,PF,1604717158,80,-16.48,-151.75,79.43,14.16
Pontes e Lacerda,100,BR,1604717902,35,-15.23,-59.34,75.74,2.82
Alenquer,40,BR,1604717902,94,-1.94,-54.74,78.8,2.24
Chivilcoy,100,AR,1604717903,64,-34.9,-60.02,64.99,1.01
Huarmey,16,PE,1604717514,87,-10.07,-78.15,60.42,4.63
Governador Valadares,2,BR,1604717903,92,-18.85,-41.95,71.26,3.96
George Town,20,MY,1604717206,83,5.41,100.34,84.2,3.36
General Roca,0,AR,1604717903,34,-39.03,-67.58,68.0,9.17
Humaitá,60,BR,1604717904,84,-7.51,-63.02,75.97,1.25
Río Gallegos,0,AR,1604717904,65,-51.62,-69.22,46.4,9.17
Cidreira,1,BR,1604717457,85,-30.18,-50.21,67.12,15.5
Tautira,75,PF,1604717904,66,-17.73,-149.15,84.2,4.7
Rawson,0,AR,1604717770,77,-43.3,-65.1,51.96,8.95
Tabou,100,CI,1604717904,85,4.42,-7.35,78.01,4.61
San Francisco,20,US,1604717771,62,37.77,-122.42,55.4,12.75
Saquarema,75,BR,1604717908,78,-22.92,-42.51,71.6,5.82
San Borja,0,BO,1604717908,44,-14.82,-66.85,79.21,1.59
Yurimaguas,89,PE,1604717908,96,-5.9,-76.08,72.97,2.01
Manicoré,70,BR,1604717908,95,-5.81,-61.3,73.13,2.13
Urucará,100,BR,1604717909,96,-2.54,-57.76,74.52,5.28
Aracaju,20,BR,1604717656,88,-10.91,-37.07,78.8,10.29
Princesa Isabel,3,BR,1604717909,74,-7.74,-37.99,73.13,8.68
Beberibe,40,BR,1604717909,78,-4.18,-38.13,80.6,12.75
Takoradze,88,GH,1604717444,90,4.88,-1.76,78.06,8.97
Los Andes,0,CL,1604717910,67,-32.83,-70.6,64.0,2.04
Taltal,23,CL,1604717286,74,-25.4,-70.48,59.45,1.52
Paraná,0,AR,1604717454,57,-31.73,-60.52,69.01,6.96
Melo,3,UY,1604717910,96,-32.37,-54.18,58.15,10.27
Porto Walter,98,BR,1604717910,72,-8.27,-72.74,76.33,2.26
Santiago del Estero,0,AR,1604717911,31,-27.8,-64.26,78.01,4.0
San Juan,81,AR,1604717911,19,-31.54,-68.54,78.8,11.77
Anastácio,0,BR,1604717911,33,-20.48,-55.81,76.77,3.85
Tiarei,75,PF,1604717911,66,-17.53,-149.33,84.2,4.7
Orán,100,AR,1604717911,48,-23.13,-64.33,79.0,1.74
Alta Floresta,58,BR,1604717911,80,-9.88,-56.09,73.65,2.26
Salinas,1,US,1604717834,62,36.68,-121.66,55.4,8.05
Rocha,100,UY,1604717912,96,-34.48,-54.33,57.27,6.11
Camaná,79,PE,1604717912,76,-16.62,-72.71,63.61,5.59
Acarí,65,PE,1604717515,65,-15.43,-74.62,65.07,3.15
Laguna,1,US,1604717912,58,38.42,-121.42,54.0,11.41
Rio Grande,15,BR,1604717789,88,-32.03,-52.1,66.0,5.99
Boca do Acre,100,BR,1604717912,74,-8.75,-67.4,77.02,0.34
Morros,100,BR,1604717913,97,-9.45,-46.3,69.37,3.51
Imbituba,40,BR,1604717913,88,-28.24,-48.67,64.4,2.24
San Cristobal,36,VE,1604717449,92,7.77,-72.22,66.33,1.12
Porto Seguro,0,BR,1604717913,94,-16.45,-39.06,73.4,2.24
Amontada,100,BR,1604717913,80,-3.36,-39.83,77.32,7.02
São Marcos,0,BR,1604717913,92,-28.97,-51.07,53.67,6.17
Venado Tuerto,38,AR,1604717737,61,-33.75,-61.97,66.99,4.0
Lima,90,PE,1604717512,82,-12.04,-77.03,64.4,11.41
Papara,40,BR,1604717914,78,-3.98,-38.73,81.0,12.75
São João da Barra,100,BR,1604717454,84,-21.64,-41.05,70.38,8.95
Bella Union,0,UY,1604717914,83,-30.28,-57.6,61.61,8.55
Chicama,13,PE,1604717915,83,-7.84,-79.15,60.21,3.85
Santa Cruz de la Sierra,56,BO,1604717379,74,-17.8,-63.17,80.6,5.82
Huancavelica,55,PE,1604717915,93,-12.77,-74.98,39.47,4.47
Valparaíso,90,CL,1604717915,93,-33.04,-71.63,53.6,6.93
Brae,86,GB,1604717916,100,60.4,-1.35,50.0,3.36
Panama City,40,PA,1604717909,83,8.99,-79.52,78.8,3.36
Kapaa,90,US,1604717267,74,22.08,-159.32,80.6,12.75
Kirkland Lake,99,CA,1604717916,93,48.14,-80.04,35.6,3.56
Barrow,90,US,1604717450,79,71.29,-156.79,24.8,9.17
Saint Paul Harbor,1,US,1604717484,74,57.79,-152.41,37.4,5.82
Gouyave,20,GD,1604717811,83,12.16,-61.73,82.4,11.41
Monrovia,100,LR,1604717503,83,6.3,-10.8,78.94,5.97
Monroe,1,US,1604717920,71,43.15,-77.68,61.0,11.41
Klaksvík,99,FO,1604717921,70,62.23,-6.59,42.8,12.75
Port Hardy,75,CA,1604717487,72,50.7,-127.42,44.6,6.93
Columbus,1,US,1604717783,71,39.96,-83.0,53.6,4.29
Saint George,1,US,1604717279,23,37.1,-113.58,73.4,16.11
Haines Junction,0,CA,1604717475,83,60.75,-137.51,-5.8,1.12
Sicamous,0,CA,1604717921,86,50.83,-118.99,33.8,2.24
Moose Factory,75,CA,1604717921,97,51.26,-80.61,32.0,3.36
Codrington,56,AU,1604717473,62,-38.27,141.97,56.08,13.42
Puerto Carreño,76,CO,1604717922,87,6.19,-67.49,79.09,3.76
San Andrés,20,CO,1604717922,94,12.58,-81.7,77.0,2.24
Nome,90,US,1604717198,86,64.5,-165.41,39.99,23.04
Barcelos,75,PT,1604717922,82,41.54,-8.62,59.0,13.87
Upernavik,0,GL,1604717447,78,72.79,-56.15,-4.27,8.39
Hofn,0,IS,1604717516,74,64.25,-15.21,36.63,10.11
Pangnirtung,100,CA,1604717478,83,66.15,-65.71,12.43,1.9
Matagami,90,CA,1604717479,100,49.75,-77.63,33.8,10.29
Hilo,90,US,1604717441,65,19.73,-155.09,82.4,5.82
Clyde River,90,CA,1604717492,78,70.47,-68.59,8.6,18.34
Ponta do Sol,20,PT,1604717450,63,32.67,-17.1,63.0,3.36
Tasiilaq,100,GL,1604717442,86,65.61,-37.64,26.6,23.04
Nzérékoré,94,GN,1604717924,99,7.76,-8.82,69.03,2.19
Yellowknife,40,CA,1604717379,92,62.46,-114.35,9.0,3.36
Ilulissat,100,GL,1604717458,61,69.22,-51.1,12.2,28.86
Rabat,20,MA,1604717925,68,33.99,-6.84,66.2,14.99
Cabo San Lucas,20,MX,1604717469,78,22.89,-109.91,78.01,4.7
Touros,40,BR,1604717507,88,-5.2,-35.46,77.0,3.36
Maniitsoq,99,GL,1604717491,78,65.42,-52.9,22.69,4.59
Grindavik,75,IS,1604717510,60,63.84,-22.43,39.2,14.99
Shelburne,7,CA,1604717926,70,44.08,-80.2,55.99,14.54
Ribeira Grande,45,PT,1604717470,65,38.52,-28.7,58.57,24.43
Sitka,75,US,1604717926,93,57.05,-135.33,39.2,10.29
Oistins,75,BB,1604717927,83,13.07,-59.53,80.6,18.34
Bubaque,38,GW,1604717927,81,11.28,-15.83,82.9,16.75
Bradford,28,GB,1604717815,99,53.79,-1.75,43.0,1.05
Golden,75,US,1604717927,25,39.76,-105.22,60.8,6.93
Norman Wells,90,CA,1604717443,84,65.28,-126.83,8.6,1.3
Qaanaaq,66,GL,1604717447,79,77.48,-69.36,-6.57,8.63
Provideniya,24,RU,1604717491,89,64.38,-173.3,33.28,22.41
Virginia Beach,90,US,1604717640,93,36.85,-75.98,63.0,3.09
Fortuna,40,US,1604717439,100,40.6,-124.16,50.0,11.41
Torbay,90,CA,1604717491,87,47.67,-52.73,54.0,25.28
Pizarro,97,CO,1604717929,82,4.95,-77.37,76.37,7.09
Guerrero Negro,0,MX,1604717448,84,27.98,-114.06,67.91,11.41
Dallas,1,US,1604717871,68,32.77,-96.78,66.99,4.7
Bethel,1,US,1604717440,93,41.37,-73.41,55.99,3.36
Paamiut,100,GL,1604717494,93,61.99,-49.67,32.36,23.38
Poplar Bluff,1,US,1604717929,87,36.76,-90.39,51.8,3.06
Lompoc,1,US,1604717457,66,34.64,-120.46,55.4,12.75
Herrin,1,US,1604717933,81,37.8,-89.03,51.8,4.23
Lagoa,34,PT,1604717468,69,39.05,-27.98,59.22,29.86
Cumberland,90,US,1604717933,93,35.05,-78.87,66.2,5.82
Taoudenni,77,ML,1604717493,19,22.68,-3.98,77.45,6.58
Thompson,90,CA,1604717196,92,55.74,-97.86,15.8,3.36
La Ronge,52,CA,1604717499,78,55.1,-105.28,17.6,4.7
Sturgis,1,US,1604717935,71,41.8,-85.42,55.99,4.7
Saint-Raymond,100,CA,1604717935,62,45.47,-73.61,59.0,6.93
Qaqortoq,75,GL,1604717935,94,60.72,-46.03,32.0,16.11
Nelson,100,NZ,1604717935,86,-41.28,173.28,66.0,1.99
Bon Air,3,US,1604717757,90,37.52,-77.56,55.99,0.63
Tuktoyaktuk,75,CA,1604717464,85,69.45,-133.04,14.0,12.75
Lufkin,1,US,1604717733,72,31.34,-94.73,62.6,5.82
Lavrentiya,26,RU,1604717478,88,65.58,-171.0,33.69,22.88
Peachland,0,CA,1604717936,78,49.77,-119.74,37.0,1.01
Maturin,8,VE,1604717937,97,9.75,-63.18,73.58,4.0
New Richmond,1,US,1604717917,59,45.12,-92.54,62.6,11.41
Cloquet,1,US,1604717938,39,46.72,-92.46,64.4,12.75
Cayenne,0,GF,1604717939,100,4.93,-52.33,75.2,10.56
Wabash,0,US,1604717939,79,40.8,-85.82,54.0,1.01
Mosquera,75,CO,1604717942,87,4.71,-74.23,55.4,4.7
Villa Vicente Guerrero,20,MX,1604717943,67,19.12,-98.17,59.0,10.29
Aklavik,99,CA,1604717506,67,68.22,-135.01,17.6,3.36
Ponta Delgada,75,PT,1604717863,82,37.73,-25.67,59.0,5.82
Thunder Bay,5,CA,1604717946,76,48.4,-89.32,50.0,11.41
Saint-François,0,FR,1604717946,93,46.42,3.91,51.01,2.24
Jérémie,100,HT,1604717946,78,18.65,-74.12,78.21,4.74
Vestmannaeyjar,99,IS,1604717484,68,63.44,-20.27,41.27,15.19
El Tigre,0,VE,1604717504,82,8.89,-64.25,76.86,8.77
Carutapera,100,BR,1604717947,86,-1.2,-46.02,77.31,4.45
Kahului,40,US,1604717450,62,20.89,-156.47,84.2,16.11
Lethem,93,GY,1604717947,87,3.38,-59.8,77.0,6.13
San Quintín,12,MX,1604717948,88,30.48,-115.95,64.29,7.02
Dingle,100,PH,1604717456,81,11.0,122.67,82.54,10.6
Kenora,90,CA,1604717693,88,49.82,-94.43,35.6,9.17
Ribeira Brava,20,PT,1604717948,63,32.65,-17.07,63.0,3.36
Saint Andrews,75,US,1604717949,73,34.05,-81.13,69.8,5.82
Half Moon Bay,90,US,1604717517,76,37.46,-122.43,52.0,5.82
Sinnamary,100,GF,1604717446,86,5.38,-52.95,77.86,10.36
Abbotsford,5,CA,1604717770,80,49.06,-122.25,43.0,6.93
Banamba,1,ML,1604717950,26,13.55,-7.45,77.49,8.12
Dalvik,40,IS,1604717950,44,65.97,-18.53,39.2,13.87
Iqaluit,20,CA,1604717467,77,63.75,-68.51,0.0,28.86
Siguiri,89,GN,1604717951,37,11.67,-9.5,79.7,2.28
Acaraú,100,BR,1604717951,80,-2.89,-40.12,79.61,15.14
Goderich,27,CA,1604717402,62,43.75,-81.72,59.0,14.99
Inuvik,100,CA,1604717681,67,68.35,-133.72,17.6,3.36
Bonthe,99,SL,1604717486,85,7.53,-12.51,78.98,5.37
Yucca Valley,1,US,1604717951,38,34.11,-116.43,75.2,17.22
Vila Franca do Campo,75,PT,1604717470,82,37.72,-25.43,59.0,5.82
Miguel Hidalgo,75,MX,1604717955,42,19.42,-99.2,66.2,6.93
Intipucá,64,SV,1604717506,93,13.2,-88.05,73.98,2.73
Elko,1,US,1604717955,12,41.0,-115.5,66.2,17.22
Guarda,100,PT,1604717955,88,40.54,-7.27,51.01,7.14
Great Falls,90,US,1604717721,80,47.5,-111.3,41.0,5.82
Constitución,0,CL,1604717470,72,-35.33,-72.42,55.15,10.85
Saint Anthony,1,US,1604717466,52,45.02,-93.22,66.2,11.41
Ketchikan,90,US,1604717517,80,55.34,-131.65,37.4,6.93
Manitouwadge,96,CA,1604717956,93,49.12,-85.84,39.2,4.7
Muros,40,ES,1604717956,93,42.78,-9.06,51.8,8.05
Assiniboia,100,CA,1604717957,71,49.63,-105.98,32.0,6.93
Champerico,100,GT,1604717473,97,14.3,-91.92,69.01,5.79
East Wenatchee Bench,1,US,1604717957,52,47.43,-120.28,46.0,8.05
Nanortalik,100,GL,1604717455,88,60.14,-45.24,33.89,20.29
High Prairie,97,CA,1604717474,85,55.43,-116.49,15.8,3.36
Seaford,0,GB,1604717957,90,50.77,0.1,46.99,9.33
La Cruz,0,MX,1604717958,92,23.92,-106.9,75.99,3.36
Fairbanks,90,US,1604717343,85,64.84,-147.72,28.0,8.77
Marrakesh,40,MA,1604717958,76,31.63,-8.01,57.2,5.82
Haverhill,1,US,1604717696,55,42.78,-71.08,60.8,4.7
Paraíso,90,CR,1604717959,100,9.84,-83.87,66.2,6.93
Barra de Tecoanapa,80,MX,1604717959,83,16.52,-98.75,79.79,6.38
Araouane,44,ML,1604717469,16,18.9,-3.53,81.21,9.98
Fort Nelson,40,CA,1604717961,84,58.81,-122.7,5.0,2.24
Mackenzie,90,CA,1604717961,92,55.3,-123.17,26.6,5.82
Nuuk,100,GL,1604717962,100,64.18,-51.72,26.6,2.24
Bahía Honda,100,CU,1604717455,85,22.9,-83.16,75.72,11.34
Santa Rita,75,BR,1604717841,94,-7.11,-34.98,75.2,5.82
Santa Cruz de Barahona,100,DO,1604717963,76,18.21,-71.1,78.08,2.35
Lüshunkou,0,CN,1604717964,45,38.8,121.27,62.6,15.66
Saint-Augustin,89,CA,1604717964,95,51.23,-58.65,37.22,4.79
Puerto Colombia,40,CO,1604717913,94,10.99,-74.95,77.0,3.36
Douglas,1,US,1604717800,72,41.3,-96.17,64.4,8.05
Narsaq,75,GL,1604717464,96,60.92,-46.05,32.0,16.11
Manaure,86,CO,1604717965,78,11.78,-72.44,80.78,4.68
Upata,34,VE,1604717965,87,8.01,-62.4,81.0,1.01
Ixtapa,5,MX,1604717469,83,20.7,-105.2,78.8,3.0
Akureyri,40,IS,1604717965,44,65.68,-18.09,39.2,13.87
Chihuahua,20,MX,1604717917,18,28.5,-106.0,68.0,5.82
Rincon,90,US,1604717966,83,32.3,-81.24,71.6,9.17
Dorado,38,PR,1604717966,85,18.46,-66.27,77.0,4.0
Aguililla,26,MX,1604717967,76,18.73,-102.73,66.69,2.93
Acapulco de Juárez,20,MX,1604717404,83,16.86,-99.89,82.4,5.82
Fort Frances,1,CA,1604717967,70,48.6,-93.4,46.4,9.17
Revelstoke,1,CA,1604717967,69,50.98,-118.2,39.2,9.17
Buenos Aires,0,AR,1604717968,72,-34.61,-58.38,70.0,9.17
Los Llanos de Aridane,0,ES,1604717193,68,28.66,-17.92,66.2,8.05
Kirkwall,91,GB,1604717968,93,58.98,-2.96,42.8,2.24
Two Rivers,1,US,1604717968,93,44.15,-87.57,57.99,13.13
Oranjestad,20,AW,1604717845,78,12.52,-70.03,82.4,4.7
Atar,100,MR,1604717972,25,20.52,-13.05,81.72,2.91
Gallup,40,US,1604717972,25,35.53,-108.74,62.6,10.29
Rapid Valley,1,US,1604717693,41,44.06,-103.15,57.2,6.93
Egvekinot,100,RU,1604717959,99,66.32,-179.17,26.83,2.55
New Milford,1,US,1604717972,71,40.93,-74.02,63.0,5.82
San Luis,51,AR,1604717734,41,-33.3,-66.34,67.93,12.95
Caceres,100,ES,1604717973,95,39.52,-6.37,54.0,3.0
Punto Fijo,9,VE,1604717973,79,11.7,-70.2,82.02,17.11
Saint-Ambroise,75,CA,1604717973,62,48.55,-71.33,55.4,13.87
Magalia,5,US,1604717973,58,39.81,-121.58,57.2,4.7
Husavik,40,IS,1604717465,44,66.04,-17.34,39.2,13.87
Bolivar,0,US,1604717974,72,37.61,-93.41,61.0,4.0
Gardendale,40,US,1604717857,63,33.66,-86.81,66.2,5.82
São Filipe,98,CV,1604717442,78,14.9,-24.5,78.55,4.68
Porto-Novo,40,BJ,1604717815,83,6.5,2.6,82.4,10.29
